entry,at,order
"The player ""Solenya @ Cm7T72VOne"" passed the room ownership to ""Leon @ FBmvb3C6ih"".",2020-12-17T22:12:51.593Z,160824317159400
"The player ""dajafa @ 3lqztn0PtJ"" requested a seat.",2020-12-17T22:06:29.225Z,160824278922600
"The player ""dajafa @ 3lqztn0PtJ"" quits the game with a stack of 0.",2020-12-17T22:04:11.408Z,160824265141200
"-- ending hand #124 --",2020-12-17T22:04:05.377Z,160824264537801
"""Leon @ FBmvb3C6ih"" collected 167120 from pot with Two Pair, K's & 8's (combination: K♣, K♥, 8♠, 8♣, Q♥)",2020-12-17T22:04:05.377Z,160824264537800
"river: Q♥, 8♠, 7♠, 9♠ [8♣]",2020-12-17T22:04:02.347Z,160824264235200
"turn: Q♥, 8♠, 7♠ [9♠]",2020-12-17T22:03:59.262Z,160824263926400
"flop:  [Q♥, 8♠, 7♠]",2020-12-17T22:03:56.244Z,160824263624400
"""Leon @ FBmvb3C6ih"" shows a K♣, K♥.",2020-12-17T22:03:53.202Z,160824263320401
"""dajafa @ 3lqztn0PtJ"" shows a Q♦, 5♦.",2020-12-17T22:03:53.202Z,160824263320400
"""Leon @ FBmvb3C6ih"" calls 83560",2020-12-17T22:03:52.396Z,160824263239600
"""dajafa @ 3lqztn0PtJ"" raises to 83560 and go all in",2020-12-17T22:03:49.582Z,160824262958300
"""Leon @ FBmvb3C6ih"" raises to 45000",2020-12-17T22:03:22.882Z,160824260288200
"""dajafa @ 3lqztn0PtJ"" posts a big blind of 10000",2020-12-17T22:03:13.505Z,160824259351308
"""Leon @ FBmvb3C6ih"" posts a small blind of 5000",2020-12-17T22:03:13.505Z,160824259351307
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (83560) | #6 ""Leon @ FBmvb3C6ih"" (164440)",2020-12-17T22:03:13.505Z,160824259351304
"-- starting hand #124  (No Limit Texas Hold'em) (dealer: ""Leon @ FBmvb3C6ih"") --",2020-12-17T22:03:13.505Z,160824259351303
"The game's big blind was changed from 5000 to 10000.",2020-12-17T22:03:13.505Z,160824259351302
"The game's small blind was changed from 2500 to 5000.",2020-12-17T22:03:13.505Z,160824259351301
"The player ""Vaibhav @ d9aWWonCb9"" quits the game with a stack of 0.",2020-12-17T22:03:13.505Z,160824259351300
"-- ending hand #123 --",2020-12-17T22:03:06.993Z,160824258699603
"""Vaibhav @ d9aWWonCb9"" shows a 10♠, Q♠.",2020-12-17T22:03:06.993Z,160824258699602
"""Leon @ FBmvb3C6ih"" collected 92808 from pot with Two Pair, 5's & 3's (combination: 5♥, 5♣, 3♦, 3♣, J♠)",2020-12-17T22:03:06.993Z,160824258699601
"""Leon @ FBmvb3C6ih"" shows a 3♦, 5♥.",2020-12-17T22:03:06.993Z,160824258699600
"""Leon @ FBmvb3C6ih"" calls 15154",2020-12-17T22:03:06.182Z,160824258618600
"""Vaibhav @ d9aWWonCb9"" bets 15154 and go all in",2020-12-17T22:03:04.979Z,160824258498000
"river: 6♠, J♠, 7♦, 5♣ [3♣]",2020-12-17T22:03:01.011Z,160824258101400
"""Vaibhav @ d9aWWonCb9"" calls 18750",2020-12-17T22:03:00.203Z,160824258020600
"""Leon @ FBmvb3C6ih"" bets 18750",2020-12-17T22:02:57.600Z,160824257760100
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T22:02:53.279Z,160824257328000
"turn: 6♠, J♠, 7♦ [5♣]",2020-12-17T22:02:51.038Z,160824257104000
"""Vaibhav @ d9aWWonCb9"" calls 7500",2020-12-17T22:02:50.223Z,160824257022400
"""Leon @ FBmvb3C6ih"" bets 7500",2020-12-17T22:02:24.363Z,160824254436600
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T22:02:17.309Z,160824253731200
"flop:  [6♠, J♠, 7♦]",2020-12-17T22:02:07.082Z,160824252708300
"""Leon @ FBmvb3C6ih"" checks",2020-12-17T22:02:06.275Z,160824252627600
"""Vaibhav @ d9aWWonCb9"" calls 5000",2020-12-17T22:02:01.756Z,160824252175700
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T22:01:38.490Z,160824249849100
"""Leon @ FBmvb3C6ih"" posts a big blind of 5000",2020-12-17T22:01:36.802Z,160824249680706
"""Vaibhav @ d9aWWonCb9"" posts a small blind of 2500",2020-12-17T22:01:36.802Z,160824249680705
"Player stacks: #2 ""dajafa @ 3lqztn0PtJ"" (83560) | #4 ""Vaibhav @ d9aWWonCb9"" (46404) | #6 ""Leon @ FBmvb3C6ih"" (118036)",2020-12-17T22:01:36.802Z,160824249680701
"-- starting hand #123  (No Limit Texas Hold'em) (dealer: ""dajafa @ 3lqztn0PtJ"") --",2020-12-17T22:01:36.802Z,160824249680700
"-- ending hand #122 --",2020-12-17T22:01:33.887Z,160824249388802
"""Vaibhav @ d9aWWonCb9"" collected 20000 from pot",2020-12-17T22:01:33.887Z,160824249388801
"Uncalled bet of 5000 returned to ""Vaibhav @ d9aWWonCb9""",2020-12-17T22:01:33.887Z,160824249388800
"""dajafa @ 3lqztn0PtJ"" folds",2020-12-17T22:01:33.065Z,160824249306600
"""Vaibhav @ d9aWWonCb9"" raises to 10000",2020-12-17T22:01:27.927Z,160824248792800
"""dajafa @ 3lqztn0PtJ"" bets 5000",2020-12-17T22:01:25.321Z,160824248532100
"flop:  [8♣, 9♣, 2♠]",2020-12-17T22:01:18.799Z,160824247880000
"""Vaibhav @ d9aWWonCb9"" checks",2020-12-17T22:01:17.993Z,160824247799400
"""dajafa @ 3lqztn0PtJ"" calls 5000",2020-12-17T22:01:15.851Z,160824247585200
"""Leon @ FBmvb3C6ih"" folds",2020-12-17T22:01:09.250Z,160824246925100
"""Vaibhav @ d9aWWonCb9"" posts a big blind of 5000",2020-12-17T22:01:00.401Z,160824246041706
"""dajafa @ 3lqztn0PtJ"" posts a small blind of 2500",2020-12-17T22:01:00.401Z,160824246041705
